epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21105.3,1.05796,0.50625,1.18077,0.97314,0.98337,0.97741,0.68524,1.11855,0.4213,1.2852,0.000848969,0.000848969,0.000848969
43,21600.3,1.07951,0.50914,1.18168,0.97304,0.98451,0.97645,0.6916,1.11676,0.4088,1.28357,0.000834822,0.000834822,0.000834822
44,22146,1.07065,0.50358,1.18363,0.97429,0.98651,0.97748,0.68412,1.12807,0.40815,1.28379,0.000820675,0.000820675,0.000820675
45,22610.2,1.06301,0.50837,1.17812,0.97154,0.98482,0.97837,0.68841,1.1261,0.4204,1.2898,0.000806528,0.000806528,0.000806528
46,23065.7,1.05057,0.50519,1.17084,0.97071,0.98812,0.97879,0.68708,1.11918,0.4033,1.28595,0.00079238,0.00079238,0.00079238
47,23551.2,1.05609,0.50964,1.17951,0.97384,0.98803,0.97766,0.6902,1.12018,0.41065,1.27994,0.000778233,0.000778233,0.000778233
48,24094.7,1.0524,0.50588,1.17064,0.97723,0.98639,0.97531,0.68133,1.12525,0.40463,1.28085,0.000764086,0.000764086,0.000764086
49,24558.4,1.05424,0.5,1.17644,0.97134,0.98256,0.9765,0.68651,1.12494,0.41427,1.28648,0.000749939,0.000749939,0.000749939
50,25014,1.04873,0.48766,1.17168,0.97401,0.98599,0.97626,0.68875,1.11605,0.40737,1.27814,0.000735792,0.000735792,0.000735792
51,25512.2,1.05185,0.50475,1.17855,0.97358,0.98539,0.97943,0.68773,1.12941,0.40243,1.28254,0.000721645,0.000721645,0.000721645
52,26056,1.05901,0.49414,1.18164,0.96995,0.98399,0.97773,0.68619,1.1243,0.41098,1.28385,0.000707498,0.000707498,0.000707498
53,26527.3,1.05077,0.49252,1.17766,0.97352,0.98743,0.97769,0.68557,1.13294,0.41042,1.28398,0.000693351,0.000693351,0.000693351
54,26984.5,1.05732,0.49342,1.17755,0.97418,0.98669,0.9795,0.6927,1.11626,0.40671,1.27661,0.000679204,0.000679204,0.000679204
55,27477.9,1.05064,0.48444,1.17212,0.97406,0.98792,0.98164,0.69264,1.11907,0.40372,1.27963,0.000665057,0.000665057,0.000665057
56,28021.8,1.04869,0.48323,1.17288,0.9756,0.98779,0.97908,0.69033,1.12376,0.39676,1.28169,0.000650909,0.000650909,0.000650909
57,28490.2,1.0397,0.48222,1.17338,0.97613,0.9877,0.97546,0.69493,1.10698,0.39837,1.27497,0.000636762,0.000636762,0.000636762
58,28946.4,1.03914,0.48879,1.17305,0.9754,0.98803,0.97967,0.696,1.11112,0.39186,1.27919,0.000622615,0.000622615,0.000622615
59,29443.4,1.04395,0.49105,1.16861,0.97375,0.98843,0.976,0.68436,1.11749,0.39659,1.28242,0.000608468,0.000608468,0.000608468
60,29987.1,1.04114,0.46948,1.17458,0.97637,0.98544,0.97765,0.6908,1.11551,0.39678,1.28203,0.000594321,0.000594321,0.000594321
61,30449.3,1.03318,0.4792,1.1747,0.97516,0.98536,0.97899,0.69062,1.11795,0.402,1.28181,0.000580174,0.000580174,0.000580174
62,30905.4,1.04785,0.47864,1.16812,0.97567,0.98817,0.97714,0.69072,1.11063,0.39627,1.27968,0.000566027,0.000566027,0.000566027
63,31398.3,1.04171,0.47557,1.16889,0.97487,0.98866,0.97789,0.69382,1.1102,0.39508,1.27957,0.00055188,0.00055188,0.00055188
64,31941.2,1.04057,0.46626,1.17333,0.97644,0.98848,0.97553,0.68721,1.12052,0.39248,1.2874,0.000537733,0.000537733,0.000537733
65,32407.1,1.02733,0.47889,1.16494,0.97533,0.98908,0.97603,0.68982,1.11816,0.4043,1.2859,0.000523586,0.000523586,0.000523586
66,32864.2,1.02336,0.47778,1.16375,0.97317,0.98438,0.97852,0.6846,1.11214,0.39652,1.28279,0.000509438,0.000509438,0.000509438
67,33360.3,1.02295,0.46205,1.15975,0.97562,0.98908,0.97726,0.69239,1.11143,0.38528,1.2789,0.000495291,0.000495291,0.000495291
68,33904.6,1.02239,0.46433,1.15775,0.97613,0.98878,0.97664,0.6916,1.11712,0.39421,1.278,0.000481144,0.000481144,0.000481144
69,34368.6,1.01136,0.45959,1.16032,0.97325,0.98786,0.97855,0.69668,1.11356,0.39603,1.28404,0.000466997,0.000466997,0.000466997
70,34823.2,1.02161,0.46813,1.16738,0.97323,0.98642,0.97444,0.68732,1.12099,0.40096,1.28269,0.00045285,0.00045285,0.00045285
71,35306.8,1.01681,0.45628,1.15561,0.97473,0.98641,0.97809,0.69598,1.11367,0.39849,1.28881,0.000438703,0.000438703,0.000438703
72,35849.2,1.00441,0.46073,1.14956,0.97312,0.98642,0.97942,0.69453,1.11868,0.40082,1.28961,0.000424556,0.000424556,0.000424556
