epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5209.29,1.03765,0.93882,1.24671,0.86806,0.83301,0.88837,0.64487,1.09282,0.7427,1.30109,0.000660045,0.000660045,0.000660045
43,5333.08,1.04188,0.9237,1.24284,0.87356,0.82082,0.89242,0.6477,1.096,0.76127,1.29915,0.000649046,0.000649046,0.000649046
44,5456.92,1.04236,0.92337,1.24141,0.86239,0.83747,0.89099,0.64875,1.09405,0.7372,1.29767,0.000638047,0.000638047,0.000638047
45,5580.91,1.02791,0.91642,1.24132,0.87267,0.83136,0.89165,0.6504,1.08757,0.74607,1.29922,0.000627048,0.000627048,0.000627048
46,5704.81,1.02741,0.91573,1.24042,0.85727,0.83467,0.89064,0.64606,1.07986,0.74462,1.29257,0.000616049,0.000616049,0.000616049
47,5829.03,1.02876,0.92104,1.23812,0.87752,0.83472,0.89531,0.65243,1.08221,0.72477,1.29334,0.000605051,0.000605051,0.000605051
48,5953.27,1.01496,0.89775,1.22611,0.86746,0.82915,0.88673,0.64404,1.08927,0.7333,1.30365,0.000594052,0.000594052,0.000594052
49,6077.28,1.02339,0.90416,1.23626,0.86573,0.83993,0.89224,0.65102,1.08627,0.72403,1.30294,0.000583053,0.000583053,0.000583053
50,6201.16,1.0077,0.91125,1.23129,0.87081,0.83623,0.89904,0.65969,1.06536,0.71655,1.28255,0.000572054,0.000572054,0.000572054
51,6325,1.00997,0.89987,1.22723,0.87795,0.83208,0.89475,0.65397,1.07218,0.71734,1.2963,0.000561055,0.000561055,0.000561055
52,6448.8,1.01484,0.8937,1.22847,0.87648,0.82181,0.89349,0.65799,1.06629,0.72927,1.28973,0.000550056,0.000550056,0.000550056
53,6572.89,1.00375,0.89149,1.22504,0.86723,0.83805,0.88953,0.65118,1.06099,0.73194,1.2805,0.000539057,0.000539057,0.000539057
54,6697.18,0.99509,0.88268,1.21783,0.86177,0.83445,0.88682,0.65154,1.06151,0.73787,1.28643,0.000528058,0.000528058,0.000528058
55,6820.75,0.9833,0.86116,1.21416,0.86232,0.83349,0.88951,0.65577,1.06604,0.72739,1.29401,0.000517059,0.000517059,0.000517059
56,6944.56,0.99938,0.88375,1.22673,0.86924,0.83763,0.89605,0.66111,1.06895,0.72073,1.29658,0.00050606,0.00050606,0.00050606
57,7068.46,0.98711,0.88131,1.22037,0.86798,0.8298,0.88602,0.65704,1.04917,0.72349,1.27842,0.000495062,0.000495062,0.000495062
58,7192.09,0.97436,0.8656,1.21131,0.86423,0.83592,0.89319,0.6596,1.04341,0.72496,1.27446,0.000484063,0.000484063,0.000484063
59,7316.31,0.97566,0.86239,1.20789,0.86471,0.83545,0.89002,0.65904,1.04479,0.72539,1.27705,0.000473064,0.000473064,0.000473064
60,7440.39,0.97811,0.85651,1.21024,0.86813,0.8283,0.89278,0.65923,1.05082,0.71443,1.27744,0.000462065,0.000462065,0.000462065
61,7564.27,0.97753,0.86833,1.2118,0.868,0.82834,0.89155,0.66049,1.04826,0.71552,1.27665,0.000451066,0.000451066,0.000451066
62,7687.87,0.97858,0.85153,1.21209,0.87491,0.83423,0.89387,0.66286,1.04791,0.70616,1.27449,0.000440067,0.000440067,0.000440067
63,7811.82,0.97148,0.84697,1.20808,0.86463,0.8407,0.89514,0.66312,1.03369,0.71053,1.26393,0.000429068,0.000429068,0.000429068
64,7935.8,0.96536,0.84121,1.20435,0.86102,0.83763,0.89423,0.66136,1.05169,0.70042,1.29239,0.000418069,0.000418069,0.000418069
65,8059.78,0.96029,0.83444,1.19786,0.86573,0.8445,0.8959,0.6637,1.0414,0.7048,1.26843,0.00040707,0.00040707,0.00040707
66,8183.71,0.95583,0.83402,1.20007,0.86932,0.83415,0.89442,0.66838,1.03295,0.70224,1.26899,0.000396071,0.000396071,0.000396071
67,8307.61,0.96225,0.84159,1.20246,0.87859,0.83262,0.89483,0.66435,1.03284,0.71644,1.26397,0.000385073,0.000385073,0.000385073
68,8431.32,0.96184,0.82208,1.20692,0.86322,0.83431,0.89334,0.66675,1.03635,0.70796,1.28004,0.000374074,0.000374074,0.000374074
69,8555.16,0.95401,0.82849,1.19822,0.86967,0.83824,0.89447,0.66803,1.02758,0.70717,1.26092,0.000363075,0.000363075,0.000363075
70,8679.14,0.94853,0.8146,1.19551,0.88094,0.84092,0.89342,0.66902,1.0117,0.7086,1.2513,0.000352076,0.000352076,0.000352076
71,8802.73,0.94325,0.81379,1.19436,0.86604,0.84357,0.89386,0.66686,1.02721,0.71164,1.26694,0.000341077,0.000341077,0.000341077
72,8926.57,0.94699,0.81742,1.19734,0.87787,0.8347,0.89374,0.66947,1.0285,0.70591,1.27135,0.000330078,0.000330078,0.000330078
73,9050.11,0.94784,0.81044,1.19644,0.87484,0.83112,0.891,0.66624,1.04152,0.71446,1.27947,0.000319079,0.000319079,0.000319079
74,9173.61,0.93665,0.79327,1.186,0.87996,0.83675,0.89502,0.6693,1.0316,0.70375,1.27096,0.00030808,0.00030808,0.00030808
75,9297.26,0.93499,0.80077,1.18247,0.88286,0.83554,0.89564,0.66869,1.02543,0.70315,1.26224,0.000297081,0.000297081,0.000297081
76,9421.04,0.92078,0.78838,1.18022,0.87751,0.83674,0.89432,0.67026,1.02582,0.69165,1.26731,0.000286083,0.000286083,0.000286083
77,9545,0.92668,0.79708,1.18395,0.86126,0.83934,0.89399,0.67247,1.01863,0.698,1.25624,0.000275084,0.000275084,0.000275084
78,9668.72,0.92189,0.79068,1.18563,0.86926,0.84418,0.89581,0.67236,1.01984,0.68449,1.26194,0.000264085,0.000264085,0.000264085
79,9792.25,0.93122,0.79076,1.18118,0.87283,0.83659,0.89392,0.67219,1.01553,0.68939,1.2598,0.000253086,0.000253086,0.000253086
80,9915.79,0.93717,0.79436,1.19199,0.87604,0.83489,0.89439,0.67165,1.01253,0.69661,1.25363,0.000242087,0.000242087,0.000242087
