epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3071.96,0.68241,0.72386,0.97199,0.9241,0.34047,0.36147,0.2926,0.81409,0.80102,0.97755,0.000371313,0.000371313,0.000371313
43,3144.79,0.68786,0.68521,0.96966,0.94062,0.35301,0.37734,0.29733,0.93655,0.77429,1.02938,0.000365125,0.000365125,0.000365125
44,3217.35,0.67519,0.69317,0.96642,0.92572,0.3268,0.36607,0.29143,0.90929,0.89388,1.01393,0.000358938,0.000358938,0.000358938
45,3294.26,0.68472,0.69559,0.97617,0.928,0.3323,0.36273,0.29304,0.83412,0.85885,0.98391,0.00035275,0.00035275,0.00035275
46,3370.38,0.6574,0.6825,0.95563,0.93992,0.34106,0.37546,0.30474,0.82588,0.76495,0.97947,0.000346563,0.000346563,0.000346563
47,3442.83,0.66117,0.67463,0.9666,0.93362,0.33083,0.37433,0.29938,0.88355,0.7913,1.00702,0.000340375,0.000340375,0.000340375
48,3516.43,0.66999,0.68148,0.96425,0.92257,0.35043,0.38191,0.3079,0.84778,0.77319,0.98499,0.000334188,0.000334188,0.000334188
49,3589.45,0.66136,0.66021,0.95908,0.93128,0.35438,0.3733,0.30531,0.82548,0.7301,0.9762,0.000328,0.000328,0.000328
50,3663.53,0.64913,0.67944,0.9661,0.94591,0.34065,0.37629,0.31125,0.79968,0.7361,0.96422,0.000321812,0.000321812,0.000321812
51,3733.53,0.64315,0.65541,0.95449,0.93878,0.35245,0.37915,0.30593,0.83311,0.74423,0.98836,0.000315625,0.000315625,0.000315625
52,3804.57,0.64437,0.65133,0.95525,0.92734,0.34652,0.37428,0.3004,0.8812,0.79683,1.00427,0.000309437,0.000309437,0.000309437
53,3877.21,0.63938,0.67231,0.9553,0.94076,0.34824,0.37141,0.29878,0.83772,0.75157,0.98368,0.00030325,0.00030325,0.00030325
54,3949.87,0.65108,0.65379,0.96411,0.93754,0.33974,0.38955,0.31104,0.87571,0.80376,1.00651,0.000297063,0.000297063,0.000297063
55,4023.71,0.64074,0.66265,0.95617,0.93204,0.3464,0.37391,0.29946,0.88373,0.76967,0.99767,0.000290875,0.000290875,0.000290875
56,4100.08,0.63218,0.65017,0.94624,0.93419,0.33923,0.3688,0.29832,0.83376,0.80244,0.98634,0.000284688,0.000284688,0.000284688
57,4176.19,0.63517,0.63404,0.95298,0.92928,0.34806,0.37697,0.30916,0.81889,0.77931,0.98402,0.0002785,0.0002785,0.0002785
58,4250.91,0.63968,0.63383,0.95258,0.93545,0.34235,0.36782,0.30363,0.79494,0.82318,0.97477,0.000272313,0.000272313,0.000272313
59,4324.16,0.63842,0.60186,0.95382,0.93578,0.35042,0.37436,0.30056,0.88523,0.78192,1.00196,0.000266125,0.000266125,0.000266125
60,4397.33,0.62459,0.6438,0.94869,0.93691,0.33234,0.38759,0.31835,0.8604,0.86635,1.00016,0.000259938,0.000259938,0.000259938
61,4471.4,0.62958,0.61845,0.94776,0.93673,0.33512,0.372,0.29699,0.90375,0.86087,1.0155,0.00025375,0.00025375,0.00025375
62,4543.64,0.61768,0.6276,0.95015,0.92856,0.34101,0.36762,0.29494,0.86251,0.81234,1.00247,0.000247563,0.000247563,0.000247563
63,4616.37,0.6097,0.63792,0.94578,0.93397,0.33569,0.37419,0.30438,0.8348,0.81867,0.9938,0.000241375,0.000241375,0.000241375
64,4689.8,0.60617,0.60306,0.94176,0.93805,0.34535,0.37278,0.30427,0.83924,0.75732,1.00458,0.000235188,0.000235188,0.000235188
65,4762.45,0.61677,0.59383,0.94992,0.93857,0.33038,0.37446,0.30114,0.89667,0.88605,1.02677,0.000229,0.000229,0.000229
66,4836.76,0.61572,0.62322,0.95138,0.92717,0.3336,0.35781,0.29031,0.8487,0.86168,0.99448,0.000222813,0.000222813,0.000222813
67,4911.84,0.59273,0.59718,0.9348,0.93086,0.34144,0.36053,0.2905,0.8529,0.80844,1.00577,0.000216625,0.000216625,0.000216625
68,4985.91,0.59884,0.60107,0.93578,0.93241,0.33951,0.35583,0.28995,0.82233,0.81581,0.98242,0.000210437,0.000210437,0.000210437
69,5060.72,0.59313,0.59499,0.94194,0.92909,0.34694,0.3616,0.29638,0.8204,0.82219,0.98315,0.00020425,0.00020425,0.00020425
70,5134.52,0.5851,0.60728,0.93275,0.92527,0.33717,0.35127,0.2863,0.83799,0.88605,0.99549,0.000198063,0.000198063,0.000198063
71,5208.64,0.58637,0.58311,0.93547,0.93684,0.34193,0.38113,0.3099,0.8523,0.75547,0.99792,0.000191875,0.000191875,0.000191875
72,5282.79,0.59202,0.57872,0.93256,0.92978,0.3584,0.37399,0.30225,0.84339,0.73295,0.99106,0.000185688,0.000185688,0.000185688
73,5358.34,0.58996,0.60159,0.93994,0.93068,0.33836,0.35792,0.29355,0.82105,0.80667,0.98281,0.0001795,0.0001795,0.0001795
74,5432.54,0.58822,0.59106,0.9361,0.9295,0.33865,0.35614,0.28663,0.89288,0.85002,1.01707,0.000173313,0.000173313,0.000173313
75,5505.12,0.57297,0.60427,0.9267,0.91854,0.3444,0.3617,0.29301,0.87728,0.83793,1.01261,0.000167125,0.000167125,0.000167125
76,5579.66,0.58182,0.60629,0.93765,0.92964,0.32573,0.35658,0.29358,0.84988,0.87609,1.00454,0.000160938,0.000160938,0.000160938
77,5651.32,0.57147,0.55236,0.93209,0.92856,0.35347,0.3663,0.30447,0.79803,0.75061,0.98458,0.00015475,0.00015475,0.00015475
78,5722.04,0.56901,0.58616,0.92811,0.9295,0.33752,0.3591,0.28914,0.87296,0.85038,1.00895,0.000148563,0.000148563,0.000148563
79,5792.65,0.55876,0.5671,0.93135,0.92048,0.34559,0.37065,0.30182,0.86422,0.81187,1.00284,0.000142375,0.000142375,0.000142375
80,5864.4,0.56384,0.5712,0.92218,0.939,0.33433,0.35915,0.28881,0.85867,0.8311,1.00259,0.000136187,0.000136187,0.000136187
81,5936.26,0.55695,0.55471,0.92348,0.92783,0.34678,0.3574,0.29016,0.85028,0.83949,0.9984,0.00013,0.00013,0.00013
82,6007.85,0.57877,0.55574,0.93356,0.93607,0.3379,0.36029,0.29208,0.86113,0.82109,0.99844,0.000123812,0.000123812,0.000123812
83,6078.93,0.56396,0.56941,0.9222,0.93474,0.33216,0.35479,0.28797,0.85054,0.84914,0.9969,0.000117625,0.000117625,0.000117625
84,6149.93,0.54192,0.55191,0.91455,0.93258,0.3302,0.35532,0.28893,0.84802,0.84896,1.00077,0.000111438,0.000111438,0.000111438
85,6221.03,0.55232,0.54461,0.92464,0.93863,0.34118,0.36205,0.29389,0.83814,0.77269,0.99375,0.00010525,0.00010525,0.00010525
86,6291.68,0.54129,0.54749,0.91712,0.93391,0.33563,0.3623,0.29371,0.86986,0.84881,1.01013,9.90625e-05,9.90625e-05,9.90625e-05
87,6362.46,0.5404,0.5372,0.91886,0.93105,0.3421,0.36382,0.2967,0.83874,0.81181,0.99714,9.2875e-05,9.2875e-05,9.2875e-05
88,6433.59,0.54951,0.55018,0.92016,0.93768,0.34667,0.37568,0.30589,0.84322,0.77408,1.00676,8.66875e-05,8.66875e-05,8.66875e-05
89,6504.21,0.5351,0.53324,0.91295,0.93738,0.34392,0.37266,0.30333,0.84854,0.7926,1.00516,8.05e-05,8.05e-05,8.05e-05
90,6575.18,0.54021,0.51528,0.91442,0.93438,0.34318,0.37153,0.30139,0.84943,0.81086,1.00803,7.43125e-05,7.43125e-05,7.43125e-05
91,6667.63,0.48917,0.44156,0.87609,0.9371,0.34434,0.37378,0.30162,0.89441,0.80744,1.03495,6.8125e-05,6.8125e-05,6.8125e-05
92,6737.73,0.47518,0.44693,0.86397,0.9411,0.34248,0.37303,0.30064,0.88126,0.84633,1.02693,6.19375e-05,6.19375e-05,6.19375e-05
93,6808.39,0.48403,0.43315,0.87601,0.9378,0.3492,0.377,0.30351,0.8629,0.80042,1.02313,5.575e-05,5.575e-05,5.575e-05
94,6878.16,0.48232,0.43209,0.87574,0.93707,0.34478,0.37093,0.29561,0.88367,0.79988,1.02681,4.95625e-05,4.95625e-05,4.95625e-05
95,6948.4,0.46677,0.43161,0.86795,0.93831,0.34541,0.37022,0.29844,0.86812,0.78697,1.02212,4.3375e-05,4.3375e-05,4.3375e-05
96,7018.57,0.46232,0.41982,0.86667,0.94299,0.34029,0.37002,0.298,0.86188,0.80454,1.01935,3.71875e-05,3.71875e-05,3.71875e-05
97,7089.28,0.46568,0.43078,0.87008,0.9402,0.34103,0.36879,0.29929,0.85703,0.82487,1.01948,3.1e-05,3.1e-05,3.1e-05
98,7159.7,0.45861,0.4139,0.86306,0.94062,0.34356,0.36929,0.30013,0.85988,0.79818,1.01634,2.48125e-05,2.48125e-05,2.48125e-05
99,7230.19,0.45276,0.41667,0.86164,0.93759,0.34089,0.36723,0.2983,0.86851,0.82653,1.02047,1.8625e-05,1.8625e-05,1.8625e-05
100,7300.9,0.45121,0.40879,0.85122,0.93768,0.34121,0.36706,0.29914,0.86049,0.84051,1.01928,1.24375e-05,1.24375e-05,1.24375e-05
