epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3120.34,1.02514,0.50619,1.15313,0.97026,0.98661,0.97548,0.69135,1.11986,0.41174,1.19261,0.000848969,0.000848969,0.000848969
43,3197.61,1.02192,0.50774,1.14932,0.97302,0.98542,0.97994,0.69643,1.11462,0.40357,1.19687,0.000834822,0.000834822,0.000834822
44,3276.23,1.02836,0.50609,1.14881,0.97591,0.98885,0.97904,0.69494,1.11812,0.39523,1.20739,0.000820675,0.000820675,0.000820675
45,3348.8,1.02322,0.50902,1.1509,0.97217,0.9869,0.97702,0.69098,1.1101,0.40708,1.22147,0.000806528,0.000806528,0.000806528
46,3425.36,1.0211,0.50187,1.15022,0.97314,0.98725,0.97559,0.69693,1.10815,0.3902,1.20797,0.00079238,0.00079238,0.00079238
47,3498.36,1.01241,0.49461,1.14572,0.97695,0.98908,0.97774,0.70126,1.11808,0.39732,1.20912,0.000778233,0.000778233,0.000778233
48,3574.01,1.00899,0.49777,1.14408,0.97498,0.98755,0.97933,0.70083,1.10875,0.39864,1.22133,0.000764086,0.000764086,0.000764086
49,3647.13,1.00676,0.49282,1.13959,0.97372,0.98743,0.97721,0.68824,1.12371,0.40068,1.22371,0.000749939,0.000749939,0.000749939
50,3722.91,1.00379,0.48978,1.138,0.97642,0.98642,0.97892,0.69189,1.11275,0.39581,1.23258,0.000735792,0.000735792,0.000735792
51,3798,1.00776,0.49072,1.14232,0.97491,0.98917,0.97858,0.69657,1.11746,0.3961,1.2211,0.000721645,0.000721645,0.000721645
52,3870.91,1.00342,0.48942,1.14115,0.97524,0.98586,0.97692,0.69504,1.11421,0.40211,1.19077,0.000707498,0.000707498,0.000707498
53,3943.93,1.00704,0.48823,1.14243,0.97248,0.98642,0.97927,0.69815,1.11401,0.39593,1.23724,0.000693351,0.000693351,0.000693351
54,4016.74,1.00108,0.48748,1.14583,0.97555,0.98779,0.97903,0.69293,1.11438,0.39078,1.22507,0.000679204,0.000679204,0.000679204
55,4089.61,0.99237,0.48359,1.14021,0.97095,0.98642,0.97911,0.70069,1.11066,0.3912,1.22162,0.000665057,0.000665057,0.000665057
56,4166.2,0.99968,0.48555,1.14652,0.97315,0.98417,0.97837,0.69626,1.11072,0.39095,1.22855,0.000650909,0.000650909,0.000650909
57,4241.1,0.9946,0.48261,1.14004,0.97195,0.98273,0.97677,0.69335,1.10779,0.39666,1.21504,0.000636762,0.000636762,0.000636762
58,4314.1,0.98689,0.4747,1.12806,0.97093,0.98528,0.97534,0.6893,1.10952,0.39631,1.20934,0.000622615,0.000622615,0.000622615
59,4389.72,0.99224,0.47827,1.13046,0.97408,0.98809,0.97871,0.69334,1.10767,0.38846,1.20323,0.000608468,0.000608468,0.000608468
60,4467.45,0.98441,0.47239,1.12893,0.97269,0.9868,0.97865,0.69824,1.11719,0.39468,1.21527,0.000594321,0.000594321,0.000594321
61,4541.01,0.98502,0.47541,1.13125,0.97217,0.98755,0.97803,0.6968,1.12334,0.39997,1.22247,0.000580174,0.000580174,0.000580174
62,4614.85,0.98117,0.46524,1.12646,0.97028,0.986,0.97903,0.69107,1.11594,0.39119,1.22071,0.000566027,0.000566027,0.000566027
63,4690.52,0.98054,0.4709,1.12852,0.97314,0.98779,0.97759,0.68886,1.11912,0.38625,1.21792,0.00055188,0.00055188,0.00055188
64,4766.46,0.9756,0.46973,1.12378,0.97409,0.98238,0.97896,0.69446,1.11759,0.38086,1.20002,0.000537733,0.000537733,0.000537733
65,4843.89,0.97417,0.4658,1.12423,0.97289,0.98642,0.97709,0.69478,1.11398,0.38787,1.23138,0.000523586,0.000523586,0.000523586
66,4919.67,0.9756,0.46305,1.13337,0.9721,0.98944,0.98015,0.69659,1.11624,0.38112,1.22392,0.000509438,0.000509438,0.000509438
67,4996.43,0.96797,0.46185,1.12647,0.97049,0.98831,0.97898,0.69788,1.11665,0.38918,1.22078,0.000495291,0.000495291,0.000495291
68,5072.58,0.96686,0.46188,1.12412,0.97323,0.98598,0.97817,0.6934,1.12518,0.39056,1.23983,0.000481144,0.000481144,0.000481144
69,5146.82,0.96611,0.45332,1.12866,0.97361,0.98751,0.97886,0.69208,1.11603,0.39209,1.24569,0.000466997,0.000466997,0.000466997
70,5221.13,0.96272,0.45639,1.12547,0.97013,0.98874,0.97869,0.69609,1.11876,0.38616,1.21737,0.00045285,0.00045285,0.00045285
71,5295.51,0.97251,0.46311,1.12107,0.97201,0.98378,0.98059,0.69584,1.11919,0.39167,1.21216,0.000438703,0.000438703,0.000438703
